"feature"	"method"	"group1"	"group2"	"group3"	"group4"	"group5"	"group6"	"p_values"	"adj_method"	"p_adjust"	"description"
"P381-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0846449802854291	"BH"	0.180441922358071	"adenosylcobalamin biosynthesis II (late cobalt incorporation)"
"P4-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.209830812262937	"BH"	0.292025684582495	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"P42-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.149257583366371	"BH"	0.247535346987112	"incomplete reductive TCA cycle"
"P441-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.120595100160839	"BH"	0.217906920389539	"superpathway of N-acetylneuraminate degradation"
"P461-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.016587467563026	"BH"	0.123909800428075	"hexitol fermentation to lactate, formate, ethanol and acetate"
"P562-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0935538801607752	"BH"	0.188858536254251	"myo-inositol degradation I"
"P621-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0964150490992639	"BH"	0.191587747778345	"nylon-6 oligomer degradation"
"PANTO-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.270651931484728	"BH"	0.336447311054804	"phosphopantothenate biosynthesis I"
"PANTOSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.185972561588992	"BH"	0.284881238052563	"pantothenate and coenzyme A biosynthesis I"
"PENTOSE-P-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.25067348165412	"BH"	0.320034322026098	"pentose phosphate pathway"
"PEPTIDOGLYCANSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.218501303306567	"BH"	0.296222113506145	"peptidoglycan biosynthesis I (meso-diaminopimelate containing)"
"PHOSLIPSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.165564176065326	"BH"	0.266488194992809	"superpathway of phospholipid biosynthesis I (bacteria)"
"POLYAMINSYN3-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0874188495561679	"BH"	0.181488633879806	"superpathway of polyamine biosynthesis II"
"POLYAMSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0548465376093554	"BH"	0.155888365171359	"superpathway of polyamine biosynthesis I"
"POLYISOPRENSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.194793496914288	"BH"	0.286453893161647	"polyisoprenoid biosynthesis (E. coli)"
"PPGPPMET-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0790069214621334	"BH"	0.17437386201491	"ppGpp biosynthesis"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0292597854058866	"BH"	0.142692558867405	"protocatechuate degradation II (ortho-cleavage pathway)"
"PRPP-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0384421928200706	"BH"	0.155888365171359	"superpathway of histidine, purine, and pyrimidine biosynthesis"
"PWY-1269"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0649730497745599	"BH"	0.159961818318212	"CMP-3-deoxy-D-manno-octulosonate biosynthesis I"
"PWY-1361"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0660084969100523	"BH"	0.160395330471886	"benzoyl-CoA degradation I (aerobic)"
"PWY-1422"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0693038923621015	"BH"	0.163707032228315	"vitamin E biosynthesis (tocopherols)"
"PWY-1501"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00992616586323129	"BH"	0.0922922230262143	"mandelate degradation I"
"PWY-1541"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.132330302659683	"BH"	0.23186577459733	"superpathway of taurine degradation"
"PWY-1622"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.175635523834672	"BH"	0.276088934948747	"formaldehyde assimilation I (serine pathway)"
"PWY-181"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.541820361502399	"BH"	0.563817259467059	"photorespiration"
"PWY-1861"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0217811284301556	"BH"	0.133123819915776	"formaldehyde assimilation II (RuMP Cycle)"
"PWY-1882"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.296403588237341	"BH"	0.35949417931207	"superpathway of C1 compounds oxidation to CO2"
"PWY-2221"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0388075308697228	"BH"	0.155888365171359	"Entner-Doudoroff pathway III (semi-phosphorylative)"
"PWY-2941"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0182250619363747	"BH"	0.128310873105901	"L-lysine biosynthesis II"
"PWY-2942"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.263461724085873	"BH"	0.331274711612926	"L-lysine biosynthesis III"
"PWY-3001"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.284310776813171	"BH"	0.349270511074693	"superpathway of L-isoleucine biosynthesis I"
"PWY-3081"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.288470331631489	"BH"	0.353382975231348	"L-lysine biosynthesis V"
"PWY-3661"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.1473774997368	"BH"	0.246861699302626	"glycine betaine degradation I"
"PWY-3781"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.172304463426825	"BH"	0.273310528194274	"aerobic respiration I (cytochrome c)"
"PWY-3801"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00901782630891897	"BH"	0.0875731132666131	"sucrose degradation II (sucrose synthase)"
"PWY-3941"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0274567260589529	"BH"	0.138712014887427	"&beta;-alanine biosynthesis II"
"PWY-4361"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0161853239324984	"BH"	0.123909800428075	"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation"
"PWY-4722"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.930796958077047	"BH"	0.930796958077047	"creatinine degradation II"
"PWY-4984"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.125410406729864	"BH"	0.223235632346031	"urea cycle"
"PWY-5005"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.427282856170599	"BH"	0.46699380026537	"biotin biosynthesis II"
"PWY-5022"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0830289258081474	"BH"	0.179178471990916	"4-aminobutanoate degradation V"
"PWY-5028"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.147484491614228	"BH"	0.246861699302626	"L-histidine degradation II"
"PWY-5088"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00742767800464279	"BH"	0.0824620035413454	"L-glutamate degradation VIII (to propanoate)"
"PWY-5097"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.250097303513194	"BH"	0.320034322026098	"L-lysine biosynthesis VI"
"PWY-5100"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.19005394367944	"BH"	0.285340004926523	"pyruvate fermentation to acetate and lactate II"
"PWY-5101"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.194046023350123	"BH"	0.286453893161647	"L-isoleucine biosynthesis II"
"PWY-5103"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.201136098327973	"BH"	0.288658374283495	"L-isoleucine biosynthesis III"
"PWY-5104"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.182583707102959	"BH"	0.281599512416885	"L-isoleucine biosynthesis IV"
"PWY-5121"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.19624516240692	"BH"	0.286819852748576	"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
"PWY-5154"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.157601340191422	"BH"	0.256505719417696	"L-arginine biosynthesis III (via N-acetyl-L-citrulline)"
"PWY-5177"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00468739605755517	"BH"	0.0738521328615582	"glutaryl-CoA degradation"
"PWY-5178"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0497014872152377	"BH"	0.155888365171359	"toluene degradation IV (aerobic) (via catechol)"
"PWY-5180"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.024234459073629	"BH"	0.135426763053738	"toluene degradation I (aerobic) (via o-cresol)"
"PWY-5181"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0709782326296975	"BH"	0.16515179020597	"toluene degradation III (aerobic) (via p-cresol)"
"PWY-5182"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0247637980717126	"BH"	0.135426763053738	"toluene degradation II (aerobic) (via 4-methylcatechol)"
"PWY-5183"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.164266360132219	"BH"	0.265376707496413	"superpathway of aerobic toluene degradation"
"PWY-5184"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.112830959693074	"BH"	0.210264944076218	"toluene degradation VI (anaerobic)"
"PWY-5188"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.234708630363077	"BH"	0.306172153637805	"tetrapyrrole biosynthesis I (from glutamate)"
"PWY-5189"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.249664693353439	"BH"	0.319951527845902	"tetrapyrrole biosynthesis II (from glycine)"
"PWY-5198"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0183510974121712	"BH"	0.128310873105901	"factor 420 biosynthesis"
"PWY-5265"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.567975091407581	"BH"	0.585389422040361	"peptidoglycan biosynthesis II (staphylococci)"
"PWY-5304"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.311890618272455	"BH"	0.371393521943207	"superpathway of sulfur oxidation (Acidianus ambivalens)"
"PWY-5345"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.321656561749087	"BH"	0.379389790780974	"superpathway of L-methionine biosynthesis (by sulfhydrylation)"
"PWY-5347"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.218876132468762	"BH"	0.296222113506145	"superpathway of L-methionine biosynthesis (transsulfuration)"
"PWY-5384"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.282630930631953	"BH"	0.348897504763174	"sucrose degradation IV (sucrose phosphorylase)"
"PWY-5392"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0639114187087759	"BH"	0.159192947125759	"reductive TCA cycle II"
"PWY-5415"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0274034945887197	"BH"	0.138712014887427	"catechol degradation I (meta-cleavage pathway)"
"PWY-5417"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0996487762007553	"BH"	0.195129178205227	"catechol degradation III (ortho-cleavage pathway)"
"PWY-5419"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0210245787195806	"BH"	0.133123819915776	"catechol degradation to 2-oxopent-4-enoate II"
"PWY-5420"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0149870617283051	"BH"	0.120171485784758	"catechol degradation II (meta-cleavage pathway)"
"PWY-5430"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0513386070486512	"BH"	0.155888365171359	"meta cleavage pathway of aromatic compounds"
"PWY-5431"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.101814754514506	"BH"	0.196157835449064	"aromatic compounds degradation via &beta;-ketoadipate"
"PWY-5484"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.192738713980004	"BH"	0.286098864457773	"glycolysis II (from fructose 6-phosphate)"
"PWY-5499"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.49046202679063	"BH"	0.522760745628061	"vitamin B6 degradation"
"PWY-5505"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.224178861017197	"BH"	0.299590710289037	"L-glutamate and L-glutamine biosynthesis"
"PWY-5507"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0185761181721549	"BH"	0.128853391130662	"adenosylcobalamin biosynthesis I (early cobalt insertion)"
"PWY-5509"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.519047752882071	"BH"	0.543290701819078	"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"PWY-5529"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0424642103063865	"BH"	0.155888365171359	"superpathway of bacteriochlorophyll a biosynthesis"
"PWY-5531"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.058604790080156	"BH"	0.155888365171359	"chlorophyllide a biosynthesis II (anaerobic)"
"PWY-5532"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.340450466771278	"BH"	0.395683122284704	"adenosine nucleotides degradation IV"
"PWY-5647"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0985475818852983	"BH"	0.194425703313207	"2-nitrobenzoate degradation I"
"PWY-5651"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.445125289601418	"BH"	0.482958655672933	"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"
"PWY-5654"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.085527959154048	"BH"	0.180996213802998	"2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate"
"PWY-5655"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.172773301362009	"BH"	0.273557727156514	"L-tryptophan degradation IX"
"PWY-5656"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.379663799031947	"BH"	0.428715969449511	"mannosylglycerate biosynthesis I"
"PWY-5659"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.124150842678128	"BH"	0.221444564287109	"GDP-mannose biosynthesis"
"PWY-5667"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.187877469319003	"BH"	0.285265181419115	"CDP-diacylglycerol biosynthesis I"
"PWY-5676"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0342144485212551	"BH"	0.151639768554002	"acetyl-CoA fermentation to butanoate II"
"PWY-5677"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.167399126995168	"BH"	0.268452911915188	"succinate fermentation to butanoate"
"PWY-5679"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.139442323088764	"BH"	0.2399880360903	"clavulanate biosynthesis"
"PWY-5686"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.221594971364137	"BH"	0.297502311785338	"UMP biosynthesis"
"PWY-5695"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.104773643933305	"BH"	0.199569869332832	"urate biosynthesis/inosine 5'-phosphate degradation"
"PWY-5705"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.501067672254767	"BH"	0.530452877971276	"allantoin degradation to glyoxylate III"
"PWY-5741"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0515369511551348	"BH"	0.155888365171359	"ethylmalonyl-CoA pathway"
"PWY-5743"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.345475904658507	"BH"	0.397820738697675	"3-hydroxypropanoate cycle"
"PWY-5744"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.402202682079605	"BH"	0.448946544237005	"glyoxylate assimilation"
"PWY-5747"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.34239595081196	"BH"	0.396733670702532	"2-methylcitrate cycle II"
"PWY-5837"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.109569144719151	"BH"	0.206832467569197	"1,4-dihydroxy-2-naphthoate biosynthesis I"
"PWY-5838"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.228576153008534	"BH"	0.300414372525502	"superpathway of menaquinol-8 biosynthesis I"
"PWY-5840"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.187932967950773	"BH"	0.285265181419115	"superpathway of menaquinol-7 biosynthesis"
"PWY-5845"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0909865215250162	"BH"	0.186234706821696	"superpathway of menaquinol-9 biosynthesis"
"PWY-5850"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0901593065738246	"BH"	0.18497472757165	"superpathway of menaquinol-6 biosynthesis I"
"PWY-5855"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.151653796246888	"BH"	0.249646540645607	"ubiquinol-7 biosynthesis (prokaryotic)"
"PWY-5856"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.152948532253896	"BH"	0.25127258870283	"ubiquinol-9 biosynthesis (prokaryotic)"
"PWY-5857"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.158330208315703	"BH"	0.257213014996142	"ubiquinol-10 biosynthesis (prokaryotic)"
"PWY-5860"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0682037246995626	"BH"	0.161544865548557	"superpathway of demethylmenaquinol-6 biosynthesis I"
"PWY-5861"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.203507778347817	"BH"	0.289665579834334	"superpathway of demethylmenaquinol-8 biosynthesis"
"PWY-5862"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0677535863508724	"BH"	0.161353227440497	"superpathway of demethylmenaquinol-9 biosynthesis"
"PWY-5863"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.111566156307434	"BH"	0.20919012402354	"superpathway of phylloquinol biosynthesis"
"PWY-5896"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0914342676847274	"BH"	0.186713901767411	"superpathway of menaquinol-10 biosynthesis"
"PWY-5897"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.200820217492911	"BH"	0.288658374283495	"superpathway of menaquinol-11 biosynthesis"
