"feature"	"method"	"group1"	"group2"	"p_values"	"adj_method"	"p_adjust"	"description"
"PWY-6957"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.492509400922376"	"BH"	0.878289795916251	"mandelate degradation to acetyl-CoA"
"PWY-6969"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.795323820380164"	"BH"	0.975393248892262	"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"
"PWY-6975"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.571892600700198"	"BH"	0.916566258579413	"superpathway of erythromycin biosynthesis (without sugar biosynthesis)"
"PWY-6977"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.550024073851188"	"BH"	0.903742317384866	"superpathway of erythromycin biosynthesis"
"PWY-6992"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.632451283989392"	"BH"	0.937544872011115	"1,5-anhydrofructose degradation"
"PWY-6993"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.445297549646166"	"BH"	0.850392231328977	"nicotine degradation II (pyrrolidine pathway)"
"PWY-7002"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"1"	"BH"	1	"4-hydroxyacetophenone degradation"
"PWY-7003"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.89641872623907"	"BH"	0.989408256828831	"glycerol degradation to butanol"
"PWY-7007"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.200668110954858"	"BH"	0.643430934264036	"methyl ketone biosynthesis"
"PWY-7013"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.6609888390197"	"BH"	0.947263191905145	"L-1,2-propanediol degradation"
"PWY-7024"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.919047453193301"	"BH"	0.992807524008254	"superpathway of the 3-hydroxypropanoate cycle"
"PWY-7046"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.570418752253199"	"BH"	0.915799412142051	"4-coumarate degradation (anaerobic)"
"PWY-7084"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.946243648622928"	"BH"	1	"nitrifier denitrification"
"PWY-7090"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.540592800424387"	"BH"	0.898937151696755	"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis"
"PWY-7094"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.588644384893009"	"BH"	0.926870992787335	"fatty acid salvage"
"PWY-7097"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.613761704501492"	"BH"	0.935061894036004	"vanillin and vanillate degradation I"
"PWY-7098"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.612923895126884"	"BH"	0.934826127857458	"vanillin and vanillate degradation II"
"PWY-7106"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.556118370688261"	"BH"	0.90760700248258	"erythromycin D biosynthesis"
"PWY-7110"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.542675549924944"	"BH"	0.899436609211869	"superpathway of megalomicin A biosynthesis"
"PWY-7111"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.706444056929683"	"BH"	0.961554959099865	"pyruvate fermentation to isobutanol (engineered)"
"PWY-7159"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.291536680155406"	"BH"	0.737694894069078	"chlorophyllide a biosynthesis III (aerobic, light independent)"
"PWY-7184"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.696849418162449"	"BH"	0.961554959099865	"pyrimidine deoxyribonucleotides de novo biosynthesis I"
"PWY-7187"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.128494678079364"	"BH"	0.521537222792713	"pyrimidine deoxyribonucleotides de novo biosynthesis II"
"PWY-7196"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.932477575975391"	"BH"	0.997170010735753	"superpathway of pyrimidine ribonucleosides salvage"
"PWY-7197"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.836728536934322"	"BH"	0.97959556342284	"pyrimidine deoxyribonucleotide phosphorylation"
"PWY-7198"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.508935057001622"	"BH"	0.886503595111955	"pyrimidine deoxyribonucleotides de novo biosynthesis IV"
"PWY-7199"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.656541274818501"	"BH"	0.945413676628968	"pyrimidine deoxyribonucleosides salvage"
"PWY-7200"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.71704728629432"	"BH"	0.961785341039343	"superpathway of pyrimidine deoxyribonucleoside salvage"
"PWY-7208"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.824191700003589"	"BH"	0.979302035874782	"superpathway of pyrimidine nucleobases salvage"
"PWY-7209"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.476572657351718"	"BH"	0.864249959886378	"superpathway of pyrimidine ribonucleosides degradation"
"PWY-7210"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.509021883669064"	"BH"	0.886503595111955	"pyrimidine deoxyribonucleotides biosynthesis from CTP"
"PWY-7211"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.714214907454403"	"BH"	0.961554959099865	"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"
"PWY-7219"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.846017067839812"	"BH"	0.9825729765574	"adenosine ribonucleotides de novo biosynthesis"
"PWY-722"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.723627679755771"	"BH"	0.96234113223759	"nicotinate degradation I"
"PWY-7220"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.815278558585853"	"BH"	0.979302035874782	"adenosine deoxyribonucleotides de novo biosynthesis II"
"PWY-7221"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.763122343310324"	"BH"	0.970908903824047	"guanosine ribonucleotides de novo biosynthesis"
"PWY-7222"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.815278558585853"	"BH"	0.979302035874782	"guanosine deoxyribonucleotides de novo biosynthesis II"
"PWY-7228"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.774993797734249"	"BH"	0.970908903824047	"superpathway of guanosine nucleotides de novo biosynthesis I"
"PWY-7229"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.829970015551892"	"BH"	0.979302035874782	"superpathway of adenosine nucleotides de novo biosynthesis I"
"PWY-7234"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.735584426121987"	"BH"	0.965509794399204	"inosine-5'-phosphate biosynthesis III"
"PWY-7237"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.740665744468345"	"BH"	0.968144096946573	"myo-, chiro- and scillo-inositol degradation"
"PWY-7242"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.722086601203392"	"BH"	0.96234113223759	"D-fructuronate degradation"
"PWY-7254"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.561697513123802"	"BH"	0.909911769349018	"TCA cycle VII (acetate-producers)"
"PWY-7255"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.286001175188974"	"BH"	0.736271057259206	"ergothioneine biosynthesis I (bacteria)"
"PWY-7274"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.445289485684586"	"BH"	0.850392231328977	"D-cycloserine biosynthesis"
"PWY-7286"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.445287003406435"	"BH"	0.850392231328977	"7-(3-amino-3-carboxypropyl)-wyosine biosynthesis"
"PWY-7295"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.626876181420835"	"BH"	0.936053527759346	"L-arabinose degradation IV"
"PWY-7315"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.690678673671755"	"BH"	0.961149626658825	"dTDP-N-acetylthomosamine biosynthesis"
"PWY-7316"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.57134141902366"	"BH"	0.916566258579413	"dTDP-N-acetylviosamine biosynthesis"
"PWY-7323"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.746939326919144"	"BH"	0.969263183993328	"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis"
"PWY-7328"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.535176432984074"	"BH"	0.895892261935536	"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis"
"PWY-7332"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.801041532337989"	"BH"	0.977625627346028	"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis"
"PWY-7347"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.983053944336469"	"BH"	1	"sucrose biosynthesis III"
"PWY-7371"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.872665575851689"	"BH"	0.987727296224704	"1,4-dihydroxy-6-naphthoate biosynthesis II"
"PWY-7373"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.161992165293365"	"BH"	0.579965261643261	"superpathway of demethylmenaquinol-6 biosynthesis II"
"PWY-7374"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.822779301926468"	"BH"	0.979302035874782	"1,4-dihydroxy-6-naphthoate biosynthesis I"
"PWY-7376"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.467733077717426"	"BH"	0.857621315499222	"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"PWY-7377"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.824824893036105"	"BH"	0.979302035874782	"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)"
"PWY-7385"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.99506433981933"	"BH"	1	"1,3-propanediol biosynthesis (engineered)"
"PWY-7391"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.395403770423751"	"BH"	0.823749326969025	"isoprene biosynthesis II (engineered)"
"PWY-7392"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.516128179310293"	"BH"	0.891662135614666	"taxadiene biosynthesis (engineered)"
"PWY-7398"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.500863485354312"	"BH"	0.883123463340729	"coumarins biosynthesis (engineered)"
"PWY-7400"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.854066889372104"	"BH"	0.983452469365269	"L-arginine biosynthesis IV (archaebacteria)"
"PWY-7401"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.657121590359604"	"BH"	0.945441620897104	"crotonate fermentation (to acetate and cyclohexane carboxylate)"
"PWY-7413"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"1"	"BH"	1	"dTDP-6-deoxy-&alpha;-D-allose biosynthesis"
"PWY-7415"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"1"	"BH"	1	"tylosin biosynthesis"
"PWY-7431"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.532832622053583"	"BH"	0.895846246463891	"aromatic biogenic amine degradation (bacteria)"
"PWY-7446"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.966057406646409"	"BH"	1	"sulfoglycolysis"
"PWY-7456"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.741589111047273"	"BH"	0.968607204720679	"mannan degradation"
"PWY-7527"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.513936235539562"	"BH"	0.889683163937111	"L-methionine salvage cycle III"
"PWY-7528"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"1"	"BH"	1	"L-methionine salvage cycle I (bacteria and plants)"
"PWY-7539"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.640682615350157"	"BH"	0.940953735569297	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)"
"PWY-7560"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.84040536248306"	"BH"	0.980747222908396	"methylerythritol phosphate pathway II"
"PWY-7616"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.307797679742731"	"BH"	0.753734511086829	"methanol oxidation to carbon dioxide"
"PWY-7644"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.891862648119251"	"BH"	0.989408256828831	"heparin degradation"
"PWY-7663"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.871304845866339"	"BH"	0.987727296224704	"gondoate biosynthesis (anaerobic)"
"PWY-7664"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.720840763007583"	"BH"	0.96234113223759	"oleate biosynthesis IV (anaerobic)"
"PWY-841"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.823131446797312"	"BH"	0.979302035874782	"superpathway of purine nucleotides de novo biosynthesis I"
"PWY-922"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.918980290530066"	"BH"	0.992807524008254	"mevalonate pathway I"
"PWY0-1061"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.131952163383032"	"BH"	0.52580330150503	"superpathway of L-alanine biosynthesis"
"PWY0-1241"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.93941235114518"	"BH"	0.998839896473099	"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"
"PWY0-1261"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.862336047069328"	"BH"	0.985118994168603	"anhydromuropeptides recycling"
"PWY0-1277"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.290872741346196"	"BH"	0.737694894069078	"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation"
"PWY0-1296"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.98351092388882"	"BH"	1	"purine ribonucleosides degradation"
"PWY0-1297"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.711883731486518"	"BH"	0.961554959099865	"superpathway of purine deoxyribonucleosides degradation"
"PWY0-1298"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.845363562997326"	"BH"	0.98216202684287	"superpathway of pyrimidine deoxyribonucleosides degradation"
"PWY0-1319"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.828253625610381"	"BH"	0.979302035874782	"CDP-diacylglycerol biosynthesis II"
"PWY0-1338"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.888903506157509"	"BH"	0.988519174261056	"polymyxin resistance"
"PWY0-1415"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.617640784261559"	"BH"	0.93602596924054	"superpathway of heme biosynthesis from uroporphyrinogen-III"
"PWY0-1479"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.727756209619548"	"BH"	0.963679736821852	"tRNA processing"
"PWY0-1533"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.713447199477924"	"BH"	0.961554959099865	"methylphosphonate degradation I"
"PWY0-1586"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.958110277010618"	"BH"	1	"peptidoglycan maturation (meso-diaminopimelate containing)"
"PWY0-162"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.834672871723964"	"BH"	0.979302035874782	"superpathway of pyrimidine ribonucleotides de novo biosynthesis"
"PWY0-166"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.708242582119287"	"BH"	0.961554959099865	"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)"
"PWY0-321"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.744477994211331"	"BH"	0.969263183993328	"phenylacetate degradation I (aerobic)"
"PWY0-41"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.655631135318945"	"BH"	0.945218307700077	"allantoin degradation IV (anaerobic)"
"PWY0-42"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.272075997406825"	"BH"	0.720007332661178	"2-methylcitrate cycle I"
"PWY0-781"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.749030945710728"	"BH"	0.969377660243598	"aspartate superpathway"
"PWY0-845"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.481570227224174"	"BH"	0.869133491039224	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"PWY0-862"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.719077059749233"	"BH"	0.96234113223759	"(5Z)-dodec-5-enoate biosynthesis"
"PWY1G-0"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.375824026982292"	"BH"	0.807184304347616	"mycothiol biosynthesis"
"PWY490-3"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.631083617147199"	"BH"	0.937104181447338	"nitrate reduction VI (assimilatory)"
"PWY4FS-7"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.835631169956613"	"BH"	0.979302035874782	"phosphatidylglycerol biosynthesis I (plastidic)"
"PWY4FS-8"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.835631169956613"	"BH"	0.979302035874782	"phosphatidylglycerol biosynthesis II (non-plastidic)"
"PWYG-321"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.719216307485594"	"BH"	0.96234113223759	"mycolate biosynthesis"
"PYRIDNUCSAL-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.517299172400566"	"BH"	0.892182493273796	"NAD salvage pathway I"
"PYRIDNUCSYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.861088658826588"	"BH"	0.984551920217737	"NAD biosynthesis I (from aspartate)"
"PYRIDOXSYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.50650049560426"	"BH"	0.885139690604899	"pyridoxal 5'-phosphate biosynthesis I"
"REDCITCYC"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.47494999486057"	"BH"	0.864174134839654	"TCA cycle VIII (helicobacter)"
"RHAMCAT-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.474525679499735"	"BH"	0.864174134839654	"L-rhamnose degradation I"
"RIBOSYN2-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.831260063215445"	"BH"	0.979302035874782	"flavin biosynthesis I (bacteria and plants)"
"RUMP-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.310488684188403"	"BH"	0.755505719344622	"formaldehyde oxidation I"
"SALVADEHYPOX-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.757576062718865"	"BH"	0.970908903824047	"adenosine nucleotides degradation II"
"SER-GLYSYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.799680056225978"	"BH"	0.976692260268482	"superpathway of L-serine and glycine biosynthesis I"
"SO4ASSIM-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.728026431229481"	"BH"	0.963679736821852	"sulfate reduction I (assimilatory)"
"SUCSYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.937352884498701"	"BH"	0.998839896473099	"sucrose biosynthesis I (from photosynthesis)"
"SULFATE-CYS-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.771726263213437"	"BH"	0.970908903824047	"superpathway of sulfate assimilation and cysteine biosynthesis"
"TCA"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.789414862696963"	"BH"	0.974921803206048	"TCA cycle I (prokaryotic)"
"TCA-GLYOX-BYPASS"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.39259867909494"	"BH"	0.823749326969025	"superpathway of glyoxylate bypass and TCA"
"TEICHOICACID-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.360054683808979"	"BH"	0.795176244007854	"teichoic acid (poly-glycerol) biosynthesis"
"THISYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.646920644493049"	"BH"	0.942423093265942	"superpathway of thiamin diphosphate biosynthesis I"
"THREOCAT-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.623832197392024"	"BH"	0.93602596924054	"superpathway of L-threonine metabolism"
"THRESYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.848013272235439"	"BH"	0.982802555304009	"superpathway of L-threonine biosynthesis"
"TRNA-CHARGING-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.964534557408894"	"BH"	1	"tRNA charging"
"TRPSYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.845263971759431"	"BH"	0.98216202684287	"L-tryptophan biosynthesis"
"TYRFUMCAT-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.443381194180623"	"BH"	0.850392231328977	"L-tyrosine degradation I"
"UBISYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.636351450085282"	"BH"	0.939689965151841	"superpathway of ubiquinol-8 biosynthesis (prokaryotic)"
"UDPNAGSYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.874921546922622"	"BH"	0.987945366948195	"UDP-N-acetyl-D-glucosamine biosynthesis I"
"VALDEG-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.828020464218298"	"BH"	0.979302035874782	"L-valine degradation I"
"VALSYN-PWY"	"metagenomeSeq"	"Equine"	"livestock_exclusion"	"0.72284502530652"	"BH"	0.96234113223759	"L-valine biosynthesis"
"1CMET2-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.586522111625524"	"BH"	0.926199094604989	"N10-formyl-tetrahydrofolate biosynthesis"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.335657805460482"	"BH"	0.773369741579424	"4-hydroxyphenylacetate degradation"
"AEROBACTINSYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.050371742993657"	"BH"	0.331180316272238	"aerobactin biosynthesis"
"ALL-CHORISMATE-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.449824735123513"	"BH"	0.852689745151714	"superpathway of chorismate metabolism"
"ANAEROFRUCAT-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.615772912252631"	"BH"	0.93602596924054	"homolactic fermentation"
"ANAGLYCOLYSIS-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.687951386074163"	"BH"	0.960289892614169	"glycolysis III (from glucose)"
"ARG+POLYAMINE-SYN"	"metagenomeSeq"	"Equine"	"Ovine"	"0.540452002249271"	"BH"	0.898937151696755	"superpathway of arginine and polyamine biosynthesis"
"ARGDEG-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.804190196744436"	"BH"	0.978720752557556	"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
"ARGORNPROST-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.612851328559346"	"BH"	0.934826127857458	"arginine, ornithine and proline interconversion"
"ARGSYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.728286725394829"	"BH"	0.963679736821852	"L-arginine biosynthesis I (via L-ornithine)"
"ARGSYNBSUB-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.757026461100973"	"BH"	0.970908903824047	"L-arginine biosynthesis II (acetyl cycle)"
"ARO-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.700573549887862"	"BH"	0.961554959099865	"chorismate biosynthesis I"
"ASPASN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.155002924495567"	"BH"	0.567888188027787	"superpathway of L-aspartate and L-asparagine biosynthesis"
"AST-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.774449162151162"	"BH"	0.970908903824047	"L-arginine degradation II (AST pathway)"
"BENZCOA-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.506463620646575"	"BH"	0.885139690604899	"anaerobic aromatic compound degradation (Thauera aromatica)"
"BIOTIN-BIOSYNTHESIS-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.653956889553797"	"BH"	0.944304036925128	"biotin biosynthesis I"
"BRANCHED-CHAIN-AA-SYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.730209982165041"	"BH"	0.964614062659449	"superpathway of branched amino acid biosynthesis"
"CALVIN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.693421394650214"	"BH"	0.96143118602287	"Calvin-Benson-Bassham cycle"
"CATECHOL-ORTHO-CLEAVAGE-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.805739339361252"	"BH"	0.978720752557556	"catechol degradation to &beta;-ketoadipate"
"CENTBENZCOA-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.594332883604223"	"BH"	0.928737404197551	"benzoyl-CoA degradation II (anaerobic)"
"CENTFERM-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.151560905678118"	"BH"	0.560023526899698	"pyruvate fermentation to butanoate"
"CHLOROPHYLL-SYN"	"metagenomeSeq"	"Equine"	"Ovine"	"0.371278202733655"	"BH"	0.803475938897032	"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"COA-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.72045104742739"	"BH"	0.96234113223759	"coenzyme A biosynthesis I"
"COBALSYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.490744772574959"	"BH"	0.877114742276045	"adenosylcobalamin salvage from cobinamide I"
"CODH-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.831348964883769"	"BH"	0.979302035874782	"reductive acetyl coenzyme A pathway"
"COLANSYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.889920003879148"	"BH"	0.98871620769963	"colanic acid building blocks biosynthesis"
"COMPLETE-ARO-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.70470870307055"	"BH"	0.961554959099865	"superpathway of aromatic amino acid biosynthesis"
"CRNFORCAT-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.277582696984309"	"BH"	0.727821831492858	"creatinine degradation I"
"DAPLYSINESYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.674039696517197"	"BH"	0.955108130278908	"L-lysine biosynthesis I"
"DENITRIFICATION-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.438293680313142"	"BH"	0.848999726493099	"nitrate reduction I (denitrification)"
"DENOVOPURINE2-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.323884403479255"	"BH"	0.762429745027164	"superpathway of purine nucleotides de novo biosynthesis II"
"DHGLUCONATE-PYR-CAT-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.534748151972224"	"BH"	0.895892261935536	"glucose degradation (oxidative)"
"DTDPRHAMSYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.754825035158124"	"BH"	0.970646559454354	"dTDP-L-rhamnose biosynthesis I"
"ECASYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.823689661356675"	"BH"	0.979302035874782	"enterobacterial common antigen biosynthesis"
"ENTBACSYN-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.406398266937347"	"BH"	0.83098905789575	"enterobactin biosynthesis"
"FAO-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.833838640364173"	"BH"	0.979302035874782	"fatty acid &beta;-oxidation I"
"FASYN-ELONG-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.780801719461555"	"BH"	0.97328366441846	"fatty acid elongation -- saturated"
"FASYN-INITIAL-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.723215497925119"	"BH"	0.96234113223759	"superpathway of fatty acid biosynthesis initiation (E. coli)"
"FERMENTATION-PWY"	"metagenomeSeq"	"Equine"	"Ovine"	"0.656957940052624"	"BH"	0.945413676628968	"mixed acid fermentation"
